site,date
Bouverie,4/1/02
Bouverie,5/31/02
Bouverie,6/12/02
Bouverie,7/22/02
Bouverie,3/28/03
Bouverie,4/20/18
Bouverie,5/1/18
Bouverie,5/31/18
Bouverie,6/13/18
Bouverie,7/24/18
Bouverie,8/31/18
Goode,3/26/02
Goode,4/12/02
Goode,5/29/02
Goode,8/5/02
Goode,3/28/03
Goode,4/24/18
Goode,5/31/18
Goode,8/9/18
Goode,8/31/18
Hudson,8/7/02
Hudson,6/14/02
Hudson,5/2/02
Hudson,4/12/02
Hudson,7/9/03
Hudson,3/18/03
Hudson,7/10/18
Hudson,5/1/18
Hudson,6/13/18
Hudson,8/21/18
Hudson,8/31/18
Quintessa,6/29/18
Quintessa,8/8/18
Quintessa,8/24/18
Quintessa,9/7/18
Saintsbury,3/26/02
Saintsbury,4/12/02
Saintsbury,8/22/02
Saintsbury,5/2/02
Saintsbury,3/18/03
Saintsbury,5/1/18
Saintsbury,8/21/18
Saintsbury,8/31/18
Stags  ,6/7/02
Stags  ,4/17/18
Stags  ,6/1/18
Stags  ,9/7/18
Veterans  ,3/26/02
Veterans  ,5/3/02
Veterans  ,6/3/02
Veterans  ,8/26/02
Veterans  ,6/15/03
Veterans  ,5/4/18
Veterans  ,6/1/18
Veterans  ,6/15/18
Veterans  ,8/24/18
Veterans  ,9/7/18
Veterans  ,3/26/02
Wappo  ,6/12/02
Wappo  ,4/13/18
Wappo  ,9/7/18
Wappo  ,8/22/18
