barcode,genus_name,species,site,start_date,type,det,year,number,technique
20020087,Andrena,sp. 6,Goode,3/26/02,Male,R. W. Brooks,2002,1,netting
20020088,Nomada,sp. 3,Goode,3/26/02,Female,R. W. Brooks,2002,1,netting
20020089,Nomada,sp. 10,Goode,3/26/02,Female,R. W. Brooks,2002,1,netting
20020090,Eucera,frater,Goode,3/26/02,Male,R. W. Brooks,2002,1,netting
20020091,Andrena,caerulea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020092,Andrena,caerulea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020094,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020095,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020096,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020097,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020098,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020099,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020100,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020101,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020102,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020103,Andrena,caerulea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020104,Andrena,pulverea,Goode,3/26/02,Female,R.W. Brooks,2002,1,netting
20020105,Andrena,pulverea,Goode,3/26/02,Female,R.W. Brooks,2002,1,netting
20020106,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020107,Andrena,pulverea,Goode,3/26/02,Female,R.W. Brooks,2002,1,netting
20020108,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020109,Andrena,pulverea,Goode,3/26/02,Female,R.W. Brooks,2002,1,netting
20020110,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020111,Andrena,pulverea,Goode,3/26/02,Female,R.W. Brooks,2002,1,netting
20020112,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020113,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020114,Andrena,pulverea,Goode,3/26/02,Female,R.W. Brooks,2002,1,netting
20020115,Andrena,pulverea,Goode,3/26/02,Female,R.W. Brooks,2002,1,netting
20020116,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020117,Andrena,pulverea,Goode,3/26/02,Female,R.W. Brooks,2002,1,netting
20020118,Andrena,pulverea,Goode,3/26/02,Female,R.W. Brooks,2002,1,netting
20020119,Andrena,pulverea,Goode,3/26/02,Female,R.W. Brooks,2002,1,netting
20020120,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020121,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
