BeeGenusID,GenusName,BeeTribeID,TribeName,SubFamilyName,FamilyName,TribeCode
0,Anthidiellum,136,No Tribe,No Subfamily,Unknown,
1,Agapanthinus,43,Eucerini,Apinae,Apidae,652
2,Agapostemon,46,Halictini,Halictinae,Halictidae,320
3,Ancylandrena,126,No Tribe Andreninae,Andreninae,Andrenidae,211
4,Ancyloscelis,5,Exomalopsini,Apinae,Apidae,650
5,Andrena,126,No Tribe Andreninae,Andreninae,Andrenidae,211
6,Anthedonia,43,Eucerini,Apinae,Apidae,652
7,Anthemurgus,8,Protandrenini,Panurginae,Andrenidae,221
8,Anthidiellum,9,Anthidiini,Megachilinae,Megachildae,521
9,Anthidium,9,Anthidiini,Megachilinae,Megachildae,521
10,Anthophora,50,Anthophorini,Apinae,Apidae,644
11,Anthophorula,5,Exomalopsini,Apinae,Apidae,650
12,Apis,13,Apini,Apinae,Apidae,658
13,Ashmeadiella,58,Osmini,Megachilinae,Megachildae,524
14,Atoposmia,58,Osmini,Megachilinae,Megachildae,524
15,Augochlora,16,Augochlorini,Halictinae,Halictidae,310
16,Augochlorella,16,Augochlorini,Halictinae,Halictidae,310
17,Augochloropsis,16,Augochlorini,Halictinae,Halictidae,310
18,Bombus,19,Bombini,Apinae,Apidae,657
19,Brachynomada,89,Brachynomadini,Nomadinae,Apidae,615
20,Calliopsis,21,Calliopsini,Panurginae,Andrenidae,226
21,Caupolicana,22,Caupolicanini,Diphaglossinae,Colletidae,111
22,Cemolobus,43,Eucerini,Apinae,Apidae,652
23,Centris,24,Centridini,Apinae,Apidae,643
24,Ceratina,25,Ceratinini,Xylocopinae,Apidae,631
25,Chalicodoma,66,Megachilini,Megachilinae,Megachildae,523
26,Chelostoma,58,Osmini,Megachilinae,Megachildae,524
27,Coelioxys,66,Megachilini,Megachilinae,Megachildae,523
28,Colletes,133,No Tribe Colletinae,Colletinae,Colletidae,101
29,Conanthalictus,130,No Tribe Rophitinae,Rophitinae,Halictidae,320
