SpeciesID,GenusName,CombinedName,SpeciesSubspecies,InOurCollect,GretchenAdd,Subgenus,Species,Subspecies,Author,Date,Parentheses,Synonyms,Diet,Oligolecty,Notes,Image,USDASpID,Specode,BeeGenusID
5061,Agapostemon,Agapostemon (Agapostemon) aff. splendens n.sp.,aff. splendens n.sp.,FALSE,FALSE,(Agapostemon),aff. splendens n.sp.,,,,,,,,,,406,agapaffsplennsp,2
5062,Agapostemon,Agapostemon (Agapostemon) angelicus/texanus,angelicus/texanus,FALSE,FALSE,(Agapostemon),angelicus/texanus,,,,,,,,,,408,agapan/tx,2
5063,Agapostemon,Agapostemon (Agapostemon) angelicus,angelicus,FALSE,FALSE,(Agapostemon),angelicus,,Cockerell,1924,,,,,,,407,agapangelicus,2
5064,Agapanthinus,Agapanthinus callophila,callophila,FALSE,FALSE,,callophila,,(Cockerell),,,,,,,,5067,agapcallophila,1
5065,Agapostemon,Agapostemon (Agapostemon) coloradinus/virescens,coloradinus/virescens,FALSE,FALSE,(Agapostemon),coloradinus/virescens,,,,,,,,,,411,agapco/vi,2
5066,Agapostemon,Agapostemon (Agapostemon) cockerelli,cockerelli,FALSE,FALSE,(Agapostemon),cockerelli,,Crawford,1901,,,,,,,409,agapcockerelli,2
5067,Agapostemon,Agapostemon (Agapostemon) coloradinus,coloradinus,FALSE,FALSE,(Agapostemon),coloradinus,,Crawford,1901,,,,,,,410,agapcoloradinus,2
5068,Agapostemon,Agapostemon (Agapostemon) femoratus,femoratus,FALSE,FALSE,(Agapostemon),femoratus,,Crawford,1901,,,,,,,412,agapfemoratus,2
5069,Agapostemon,Agapostemon (Agapostemon) melliventris,melliventris,FALSE,FALSE,(Agapostemon),melliventris,,Cresson,1874,,,,,,,413,agapmelliventri,2
5070,Agapostemon,Agapostemon (Agapostemon) obliquus,obliquus,FALSE,FALSE,(Agapostemon),obliquus,,(Provancher),,,,,,,,414,agapobliquus,2
5071,Agapostemon,Agapostemon (Agapostemon) sp.,(Agapostemon) sp.,FALSE,FALSE,(Agapostemon),sp.,,,,,,,,,,417,agapostemonsp,2
5072,Agapostemon,Agapostemon (Agapostemon) peninsularis,peninsularis,FALSE,FALSE,(Agapostemon),peninsularis,,Roberts,1972,,,,,,,415,agappeninsulari,2
5073,Agapostemon,Agapostemon (Agapostemon) sericeus,sericeus,FALSE,FALSE,(Agapostemon),sericeus,,(Forster),1771,,,,,,,416,agapsericeus,2
5074,Agapostemon,Agapostemon (Agapostemon) splendens,splendens,FALSE,FALSE,(Agapostemon),splendens,,(Lepeletier),1841,,,,,,,418,agapsplendens,2
5075,Agapostemon,Agapostemon (Agapostemon) texanus,texanus,TRUE,FALSE,(Agapostemon),texanus,,Cresson,1872,,,,Polylectic,,,419,agaptexanus,2
5076,Agapostemon,Agapostemon (Agapostemon) tyleri,tyleri,FALSE,FALSE,(Agapostemon),tyleri,,Cockerell,1917,,,,,,,420,agaptyleri,2
5077,Agapostemon,Agapostemon (Agapostemon) virescens,virescens,FALSE,FALSE,(Agapostemon),virescens,,(Fabricius),1775,,,,,,,421,agapvirescens,2
5078,Ancyloscelis,Ancyloscelis apiformis,apiformis,FALSE,FALSE,,apiformis,,(Fabricius),1793,,,,,,,428,ancyapiformis,4
5079,Ancylandrena,Ancylandrena atoposoma,atoposoma,FALSE,FALSE,,atoposoma,,(Cockerell),1934,,,,,,,422,ancyatoposoma,3
5080,Ancylandrena,Ancylandrena koebelei,koebelei,FALSE,FALSE,,koebelei,,(Timberlake),1951,,,,,,,423,ancykoebelei,3
5081,Ancylandrena,Ancylandrena sp.,sp.,FALSE,FALSE,,sp.,,,,,,,,,,426,ancylandrenasp,3
5082,Ancylandrena,Ancylandrena larreae,larreae,FALSE,FALSE,,larreae,,Timberlake,1951,,,,,,,424,ancylarreae,3
5083,Ancylandrena,Ancylandrena rozeni,rozeni,FALSE,FALSE,,rozeni,,Zavortink,,,,,,,,425,ancyrozeni,3
5084,Ancyloscelis,Ancyloscelis sejunctus,sejunctus,FALSE,FALSE,,sejunctus,,Cockerell,1933,,,,,,,429,ancysejunctus,4
5085,Ancylandrena,Ancylandrena timberlakei,timberlakei,FALSE,FALSE,,timberlakei,,Zavortink,1974,,,,,,,427,ancytimberlakei,3
5086,Anthidiellum,Anthidiellum aff. robertsoni n.sp.,aff. robertsoni n.sp.,FALSE,FALSE,,aff. robertsoni n.sp.,,,,,,,,,,128,andlaffrobernsp,8
5087,Anthidiellum,Anthidiellum ehrhorni,ehrhorni,FALSE,FALSE,,ehrhorni,,(Cockerell),,,,,,,,126,andlehrhorni,8
5088,Anthidiellum,Anthidiellum notatum boreale,notatum boreale,FALSE,FALSE,,notatum,boreale,(Robertson),,,,,,,,127,andlnotatum;br,8
5089,Anthidiellum,Anthidiellum notatum gilense,notatum gilense,FALSE,FALSE,,notatum,gilense,(Cockerell),,,,,,,,129,andlnotatum;gl,8
