Conditionsid,SiteID,date,samplenumber,bowlst,bowlfin,firstnet,secndnet,WindAM,WindPM,CloudsAM,CloudsPM,tempfirstnet,tempsecondnet,FieldCollectionNotes,FLAG,sunrise,Hightemp,Lowtemp
900,Alpha Farm,10/13/06,,9:00:00 AM,3:00:00 PM,,,,,,,0,0,transect is pool number not a transect number,,,,
892,INDI,9/23/06,,,,,,1,1,Clear,5-25% cover,60.1,61.2,,,,,
898,MCLA,9/29/05,,,,,,1,1,Clear,Clear,67.5,87.9,,,,,
897,BAYV,9/29/05,,,,,,0,0,Clear,Clear,66.2,80.9,,,,,
896,PINE,9/25/05,,,,,,0,0,Clear,Clear,71.4,65.1,,,,,
895,BROO,9/25/05,,,,,,0,0,Clear,Clear,69.2,66.7,,,,,
893,GLEN,9/24/05,,,,,,0,0,Clear,Clear,67.4,0,,,,,
894,Hawk,9/24/05,,,,,,1,1,Clear,Clear,71.1,72.6,,,,,
891,BERN,9/23/05,,,,,,2,2,5-25% cover,Clear,59.7,62.6,,,,,
890,DAVI,9/18/05,,,,,,0,1,Clear,Clear,71.1,68.5,,,,,
889,GRAN,9/18/05,,,,,,0,1,Clear,Clear,61.4,66.7,,,,,
888,BUEN,9/16/05,,,,,,0,0,25-45% cover,Clear,60.2,63.3,,,,,
887,BILL,9/16/05,,,,,,1,1,over 50%,5-25% cover,59.4,64.2,,,,,
885,OSHA,9/10/05,,,,,,1,1,Clear,Clear,66.4,65.2,,,,,
886,TWIN,9/10/05,,,,,,1,1,Clear,Clear,62.4,64.6,,,,,
884,CORO,9/9/05,,,,,,0,0,over 50%,over 50%,60.4,60.3,,,,,
883,BILL,8/28/05,,,,,,0,0,25-45% cover,Clear,59.9,69.9,,,,,
882,BERN,8/28/05,,,,,,1,1,5-25% cover,Clear,60,69.4,,,,,
881,OSHA,8/27/05,,,,,,1,1,Clear,Clear,59.5,63.1,,,,,
880,MCLA,8/27/05,,,,,,1,2,Clear,Clear,59.5,62.8,,,,,
879,BUEN,8/27/05,,,,,,0,0,25-45% cover,Clear,61.5,66.2,,,,,
877,GRAN,8/26/05,,,,,,1,1,over 50%,5-25% cover,59,60,,,,,
878,Hawk,8/26/05,,,,,,1,1,Morning Fog,Clear,61.8,61.7,,,,,
876,INDI,8/23/05,,,,,,1,1,Clear,Clear,62.8,66.6,,,,,
875,BAYV,8/23/05,,,,,,1,1,Clear,Clear,69.3,63.1,,,,,
874,PINE,8/12/05,,,,,,0,0,over 50%,over 50%,69.8,65.3,,,,,
873,DAVI,8/12/05,,,,,,0,1,Clear,5-25% cover,61.5,65.4,,,,,
872,BROO,8/12/05,,,,,,1,1,over 50%,over 50%,64.1,61.3,,,,,
871,TWIN,8/11/05,,,,,,1,1,Clear,Clear,59.2,59.2,,,,,
870,GLEN,8/11/05,,,,,,1,1,5-25% cover,Clear,59.2,62.1,,,,,
869,CORO,8/11/05,,,,,,0,1,Clear,5-25% cover,61.8,62.3,,,,,
868,BILL,7/26/05,,,,,,0,1,5-25% cover,Clear,71.3,65.4,,,,,
865,BAYV,7/21/05,,,,,,1,2,25-45% cover,over 50%,66.3,74.6,,,,,
866,INDI,7/21/05,,,,,,1,1,25-45% cover,over 50%,72.1,69.4,,,,,
867,MCLA,7/21/05,,,,,,1,1,over 50%,over 50%,61.1,64.5,,,,,
864,DAVI,7/20/05,,,,,,1,1,over 50%,over 50%,64.7,65.1,,,,,
863,GLEN,7/20/05,,,,,,1,1,over 50%,over 50%,61.4,65.4,,,,,
862,BROO,7/20/05,,,,,,1,1,over 50%,over 50%,58.8,61.4,,,,,
861,BERN,7/14/05,,,,,,0,2,Clear,Clear,65.8,66.2,,,,,
860,TWIN,7/13/05,,,,,,1,1,over 50%,over 50%,60,61.4,,,,,
859,OSHA,7/13/05,,,,,,0,1,Clear,Clear,80,71.3,,,,,
857,Hawk,7/12/05,,,,,,1,1,Clear,Clear,65.3,69.8,,,,,
856,GRAN,7/12/05,,,,,,1,1,Clear,Clear,65.6,66.9,,,,,
858,PINE,7/12/05,,,,,,0,0,5-25% cover,Clear,59.9,67.3,,,,,
855,CORO,7/11/05,,,,,,1,1,Clear,Clear,66.1,71.5,,,,,
854,BUEN,7/11/05,,,,,,0,0,Clear,Clear,69.3,68.3,,,,,
