KeyCode,ConditionID,PlantName,EstimationofFlowerNumber
F003,211,Carduus pycnocephalous,10000
F004,211,Claytonia perfoliata,10000
F005,211,Dichelostemma capitatum,10
F006,211,Eschscholzia californica,10
F007,211,Geranium molle,10000
F008,211,Limnanthes douglasii,1000
F009,211,Lupinus bicolor,100
F010,211,Lupinus nanus,1000
F011,211,Plagiobothyrs sp.,100
F012,211,Ranunculus sp.,100
F013,211,Trifolium hirtum,10000
F014,211,Trifolium willdenovii,1000
F015,211,Vicia sativa,10000
F016,211,Amsinckia menziesii,100
F017,211,Medicago sp.,100000
F018,211,Galium sp.,1000
F019,211,Sisyrinchium bellum,1000
F020,211,Castilleja sp.,1
F021,211,Ranunculus sp.,1000
F022,212,Carduus pycnocephalous,1000
F023,212,Eschscholzia californica,1000
F024,212,Geranium molle,10000
F025,212,Lupinus bicolor,10000
F026,212,Lupinus nanus,10000
F027,212,Trifolium hirtum,1000000
F028,212,Vicia benghalensis,10000
F029,212,Medicago sp.,100000
F030,212,Trifolium subterraneum,100000
F031,212,Lathyrus cicera,100
F032,212,Lathyrus sp.,10000
F033,212,Galium sp.,1000
F034,213,Carduus pycnocephalous,1000
F035,213,Hypochaeris glabra,1000000
F036,213,Claytonia perfoliata,1000
F037,213,Dichelostemma capitatum,10
F038,213,Eschscholzia californica,100
F039,213,Geranium dissectum,1000
F040,213,Geranium molle,100000
F041,213,Lupinus bicolor,1000
F042,213,Plagiobothyrs sp.,100
F043,213,Ranunculus sp.,1000
F044,213,Rhaphanus sativus,1000
F045,213,Sanicula bipinnatifida,100
F046,213,Trifolium hirtum,1000000
F047,213,Parentucellia vicosa,1000
F048,213,Castilleja sp.,100
F049,214,Amsinckia menziesii,10
F050,214,Dichelostemma capitatum,1000
F051,214,Geranium molle,100000
F052,214,Hypochaeris sp.,1000000
F053,214,Lupinus nanus,10000
F054,214,Ranunculus sp.,100
F055,214,Vicia benghalensis,100000
F056,215,Aesculus californica,1000
F057,215,Carduus pycnocephalous,1000000
F058,215,Dichelostemma sp.,10000
F059,215,Geranium molle,1000
F060,215,Hypochaeris glabra,100000
F061,215,Lupinus bicolor,1000
F062,215,Mimulus guttatus,10000
F063,215,Phacelia nemoralis,100
F064,215,Trifolium hirtum,1000000
F065,215,Trifolium willdenovii,100
F066,215,Vicia benghalensis,10000
F067,215,Vicia sativa,100
F068,216,Hirschfeldia incana,100000
F069,216,Geranium molle,1000
F070,216,Rumex sp.,100000
F071,216,Vicia benghalensis,100000
F072,216,Plantago sp.,100000
F073,216,Anagalis arvensis,1000
F074,216,Hypochaeris sp.,1
F075,213,Erodium sp.,1
F076,213,Trifolium sp.,1
F077,217,Delphinium sp.,10
F078,217,Dichelostemma sp.,100
F079,217,Hypochaeris sp.,10000
F080,217,Phacelia nemoralis,1000
F081,217,Plectritis sp.,100
F082,217,Ranunculus sp.,100
F083,217,Trifolium hirtum,10000
F084,217,Trifolium willdenovii,1000
F085,217,Triteleia laxa,1000
F086,217,Vicia benghalensis,1000000
F087,217,Vicia sativa,100
F088,217,Layia sp.,1000
F089,217,Linanthus sp.,10000
F090,217,Sisyrinchium bellum,1
F091,218,Carduus pycnocephalous,10000
F092,218,Clarkia purpurea,100
F093,218,Ranunculus sp.,10
F094,218,Sisyrinchium bellum,100
F095,218,Trifolium hirtum,10000
F096,218,Triteleia laxa,100
F097,218,Vicia benghalensis,1000
F098,218,Triteleia hyacintha,100
F099,219,Carduus pycnocephalous,1000
F100,219,Geranium molle,100000
F101,219,Hypochaeris sp.,10000
F102,219,Linanthus sp.,1000000
F103,219,Lupinus nanus,1000
F104,219,Trifolium hirtum,100000
F105,219,Vicia benghalensis,1000000
F106,219,Lavandula stoechas,1000
F107,220,Amsinckia menziesii,10
F108,220,Brodiaea elegans,10
F109,220,Calystegia occidentalis,10
F110,220,Clarkia purpurea,10
F111,220,Claytonia perfoliata,1000
F112,220,Geranium dissectum,1000
F113,220,Geranium molle,10000
F114,220,Hypochaeris sp.,10000
F115,220,Mimulus guttatus,100
F116,220,Plagiobothrys nothofulvus,100
F117,220,Rhaphanus sativus,1000
F118,220,Sisyrinchium bellum,1000
F119,220,Stachys ajugoides,1000
F120,220,Trifolium hirtum,10000
F121,220,Trifolium subterraneum,1000
F122,220,Trifolium willdenovii,1000
F123,220,Vicia benghalensis,1000
F124,220,Wyethia angustifolia,1000
F125,220,Carduus pycnocephalous,1
F126,220,Triphysaria sp.,1
F127,220,Hemizonia sp.,1
F128,220,Dichelostemma capitatum,1
F129,220,Limnanthes douglasii,100
F130,220,Lupinus bicolor,100
F131,221,Erodium sp.,10000
F132,221,Geranium dissectum,1000
F133,221,Geranium molle,10000
F134,221,Hypochaeris sp.,1000000
F135,221,Lupinus bicolor,10
F136,221,Plagiobothyrs sp.,100
F137,221,Rhaphanus sativus,100
F138,221,Trifolium hirtum,100000
F139,221,Trifolium subterraneum,10000
F140,221,Castilleja sp.,1
F141,221,Medicago sp.,1
F142,221,Carduus pycnocephalous,10000
F143,221,Plantago sp.,1
F144,221,Parentucellia vicosa,1000
F145,222,Clarkia purpurea,100
F146,222,Eschscholzia californica,1000
F147,222,Hypochaeris sp.,1000000
F148,222,Lasthenia californica,100
F149,222,Lathyrus sp.,100000
F150,222,Rhaphanus sativus,100
F151,222,Sidalcea oregana,100
F152,222,Trifolium hirtum,1000000
F153,222,Vicia benghalensis,10000
F154,222,Plantago sp.,1
F155,222,Medicago sp.,1000000
F156,222,Carduus pycnocephalous,10000
F157,222,Calochortus luteus,10
F158,223,Carduus pycnocephalous,1000000
F159,223,Geranium dissectum,10000
F160,223,Geranium molle,10000
F161,223,Ranunculus sp.,10000
F162,223,Trifolium hirtum,1000000
F163,223,Vicia sativa,100
F164,223,Anagalis arvensis,100
F165,224,Amsinckia menziesii,10
F166,224,Carduus pycnocephalous,100000
F167,224,Clarkia sp.,100
F168,224,Clarkia purpurea,1000
F169,224,Dichelostemma capitatum,1000
F170,224,Euphorbia oblongata,1000
F171,224,Geranium dissectum,10000
F172,224,Lupinus bicolor,1000
F173,224,Madia sp.,100000
F174,224,Plagiobothyrs sp.,100
