ID,SiteName,Conditions id,date,month,day,year,event,std event
1,Bouverie Preserve,40,4/1/02,4,1,2002,1,1
2,Bouverie Preserve,35,4/26/02,4,26,2002,2,3
3,Bouverie Preserve,44,5/10/02,5,10,2002,3,4
4,Bouverie Preserve,4,5/10/02,5,10,2002,3,4
5,Bouverie Preserve,115,5/31/02,5,31,2002,4,5
6,Bouverie Preserve,124,6/12/02,6,12,2002,5,6
7,Bouverie Preserve,96,6/24/02,6,24,2002,6,7
8,Bouverie Preserve,111,7/9/02,7,9,2002,7,8
9,Bouverie Preserve,144,7/22/02,7,22,2002,8,9
10,Bouverie Preserve,149,8/5/02,8,5,2002,9,10
11,Bouverie Preserve,162,8/20/02,8,20,2002,10,11
12,Bouverie Preserve,185,9/16/02,9,16,2002,11,12
13,Bouverie Preserve,198,3/28/03,3,28,2003,1,1
14,Bouverie Preserve,212,5/7/03,5,7,2003,2,4
15,Bouverie Preserve,222,5/16/03,5,16,2003,3,5
16,Bouverie Preserve,266,6/5/03,6,5,2003,4,6
17,Bouverie Preserve,244,6/20/03,6,20,2003,5,7
18,Bouverie Preserve,252,6/30/03,6,30,2003,6,
19,Bouverie Preserve,268,7/18/03,7,18,2003,7,9
20,Bouverie Preserve,293,8/8/03,8,8,2003,8,10
21,Bouverie Preserve,288,8/20/03,8,20,2003,9,11
22,Bouverie Preserve,305,9/19/03,9,19,2003,10,12
23,Bouverie Preserve,691,3/19/04,3,19,2004,1,1
24,Bouverie Preserve,706,4/23/04,4,23,2004,2,3
25,Bouverie Preserve,557,4/23/04,4,23,2004,2,3
26,Bouverie Preserve,716,5/7/04,5,7,2004,3,4
27,Bouverie Preserve,721,5/12/04,5,12,2004,4,4
28,Bouverie Preserve,733,6/4/04,6,4,2004,5,6
29,Bouverie Preserve,743,6/17/04,6,17,2004,6,7
30,Bouverie Preserve,756,7/3/04,7,3,2004,7,8
31,Bouverie Preserve,766,7/16/04,7,16,2004,8,9
32,Bouverie Preserve,776,7/30/04,7,30,2004,9,
33,Bouverie Preserve,785,8/13/04,8,13,2004,10,10
34,Bouverie Preserve,797,9/10/04,9,10,2004,11,12
35,Bouverie Preserve,805,9/29/04,9,29,2004,12,12
36,Chateau St. Jean /Watmaugh Rd.,22,3/25/02,3,25,2002,1,1
37,Chateau St. Jean /Watmaugh Rd.,7,3/25/02,3,25,2002,1,1
38,Chateau St. Jean /Watmaugh Rd.,19,4/12/02,4,12,2002,2,2
39,Chateau St. Jean /Watmaugh Rd.,8,4/22/02,4,22,2002,3,3
40,Chateau St. Jean /Watmaugh Rd.,26,5/13/02,5,13,2002,4,5
41,Chateau St. Jean /Watmaugh Rd.,122,6/10/02,6,10,2002,5,6
42,Chateau St. Jean /Watmaugh Rd.,99,6/25/02,6,25,2002,6,7
43,Chateau St. Jean /Watmaugh Rd.,109,7/8/02,7,8,2002,7,8
44,Chateau St. Jean /Watmaugh Rd.,146,7/23/02,7,23,2002,8,9
45,Chateau St. Jean /Watmaugh Rd.,155,8/7/02,8,7,2002,9,10
46,Chateau St. Jean /Watmaugh Rd.,164,8/21/02,8,21,2002,10,11
47,Chateau St. Jean /Watmaugh Rd.,182,9/16/02,9,16,2002,11,12
48,Chateau St. Jean /Watmaugh Rd.,193,3/21/03,3,21,2003,1,1
49,Chateau St. Jean /Watmaugh Rd.,205,4/19/03,4,19,2003,2,3
50,Chateau St. Jean /Watmaugh Rd.,225,5/16/03,5,16,2003,3,5
51,Chateau St. Jean /Watmaugh Rd.,235,5/30/03,5,30,2003,4,
52,Chateau St. Jean /Watmaugh Rd.,234,6/3/03,6,3,2003,5,6
53,Chateau St. Jean /Watmaugh Rd.,248,6/24/03,6,24,2003,6,7
54,Chateau St. Jean /Watmaugh Rd.,259,7/9/03,7,9,2003,7,8
55,Chateau St. Jean /Watmaugh Rd.,273,7/23/03,7,23,2003,8,9
56,Chateau St. Jean /Watmaugh Rd.,284,8/14/03,8,14,2003,9,10
57,Chateau St. Jean /Watmaugh Rd.,304,9/19/03,9,19,2003,10,12
58,Chateau St. Jean /Watmaugh Rd.,540,3/17/04,3,17,2004,1,1
59,Chateau St. Jean /Watmaugh Rd.,687,3/17/04,3,17,2004,1,1
60,Chateau St. Jean /Watmaugh Rd.,548,4/6/04,4,6,2004,2,2
61,Chateau St. Jean /Watmaugh Rd.,695,4/6/04,4,6,2004,3,2
62,Chateau St. Jean /Watmaugh Rd.,712,5/4/04,5,4,2004,4,4
63,Chateau St. Jean /Watmaugh Rd.,720,5/12/04,5,12,2004,5,
64,Chateau St. Jean /Watmaugh Rd.,740,6/11/04,6,11,2004,6,6
65,Chateau St. Jean /Watmaugh Rd.,749,6/23/04,6,23,2004,7,7
66,Chateau St. Jean /Watmaugh Rd.,759,7/8/04,7,8,2004,8,8
67,Chateau St. Jean /Watmaugh Rd.,771,7/27/04,7,27,2004,9,9
68,Chateau St. Jean /Watmaugh Rd.,779,8/6/04,8,6,2004,10,10
69,Chateau St. Jean /Watmaugh Rd.,794,9/9/04,9,9,2004,11,12
70,Chateau St. Jean /Watmaugh Rd.,806,10/4/04,10,4,2004,12,13
71,Goode,208,3/15/01,3,15,2001,1,
72,Goode,14,3/26/02,3,26,2002,2,1
73,Goode,61,4/12/02,4,12,2002,3,2
74,Goode,50,4/22/02,4,22,2002,4,3
75,Goode,62,5/13/02,5,13,2002,5,5
76,Goode,56,5/29/02,5,29,2002,6,
77,Goode,123,6/10/02,6,10,2002,7,6
78,Goode,98,6/25/02,6,25,2002,8,7
79,Goode,108,7/8/02,7,8,2002,9,8
80,Goode,145,7/23/02,7,23,2002,10,9
81,Goode,151,8/5/02,8,5,2002,11,10
82,Goode,163,8/21/02,8,21,2002,12,11
83,Goode,183,9/16/02,9,16,2002,13,12
84,Goode,199,3/28/03,3,28,2003,1,1
85,Goode,211,5/7/03,5,7,2003,2,4
86,Goode,220,5/16/03,5,16,2003,3,5
87,Goode,243,6/20/03,6,20,2003,4,7
88,Goode,253,6/30/03,6,30,2003,5,
89,Goode,269,7/18/03,7,18,2003,6,9
90,Goode,279,7/30/03,7,30,2003,7,
91,Goode,287,8/20/03,8,20,2003,8,11
92,Goode,301,9/18/03,9,18,2003,9,12
93,Goode,542,3/19/04,3,19,2004,1,1
94,Goode,689,3/19/04,3,19,2004,1,1
95,Goode,556,4/23/04,4,23,2004,1,3
96,Goode,705,4/23/04,4,23,2004,2,3
97,Goode,717,5/7/04,5,7,2004,3,4
98,Goode,719,5/12/04,5,12,2004,4,
99,Goode,732,6/4/04,6,4,2004,5,6
100,Goode,742,6/17/04,6,17,2004,6,7
101,Goode,755,7/2/04,7,2,2004,7,8
102,Goode,765,7/16/04,7,16,2004,8,9
103,Goode,775,7/30/04,7,30,2004,9,
104,Goode,784,8/13/04,8,13,2004,10,10
105,Goode,798,9/13/04,9,13,2004,11,12
106,Goode,804,9/27/04,9,27,2004,12,12
107,Hudson,27,4/12/02,4,12,2002,1,2
108,Hudson,17,4/18/02,4,18,2002,2,3
109,Hudson,9,5/2/02,5,2,2002,3,4
110,Hudson,30,5/17/02,5,17,2002,4,5
111,Hudson,119,6/4/02,6,4,2002,5,6
112,Hudson,127,6/14/02,6,14,2002,6,
113,Hudson,100,6/27/02,6,27,2002,7,7
114,Hudson,112,7/10/02,7,10,2002,8,8
115,Hudson,21,7/26/02,7,26,2002,9,9
116,Hudson,148,7/26/02,7,26,2002,9,9
117,Hudson,156,8/7/02,8,7,2002,10,10
118,Hudson,166,8/22/02,8,22,2002,11,11
119,Hudson,190,9/21/02,9,21,2002,12,12
120,Hudson,191,3/18/03,3,18,2003,1,1
121,Hudson,206,4/19/03,4,19,2003,2,3
122,Hudson,224,5/16/03,5,16,2003,3,5
123,Hudson,265,5/30/03,5,30,2003,4,
124,Hudson,233,6/3/03,6,3,2003,5,6
125,Hudson,247,6/24/03,6,24,2003,6,7
126,Hudson,260,7/9/03,7,9,2003,7,8
127,Hudson,274,7/23/03,7,23,2003,8,9
128,Hudson,285,8/14/03,8,14,2003,9,10
129,Hudson,302,9/18/03,9,18,2003,10,12
130,Hudson,537,3/16/04,3,16,2004,1,1
131,Hudson,684,3/16/04,3,16,2004,1,1
132,Hudson,698,4/6/04,4,6,2004,2,2
133,Hudson,549,4/6/04,4,6,2004,2,2
134,Hudson,711,5/4/04,5,4,2004,3,4
135,Hudson,718,5/11/04,5,11,2004,4,
136,Hudson,731,6/1/04,6,1,2004,5,6
137,Hudson,739,6/11/04,6,11,2004,6,6
138,Hudson,748,6/23/04,6,23,2004,7,7
139,Hudson,758,7/8/04,7,8,2004,8,8
140,Hudson,768,7/21/04,7,21,2004,9,9
141,Hudson,780,8/6/04,8,6,2004,10,10
142,Hudson,795,9/9/04,9,9,2004,11,12
143,Hudson,807,10/4/04,10,4,2004,12,13
144,Kelham Vineyards,1,5/29/02,5,29,2002,,5
145,Kelham Vineyards,219,5/9/03,5,9,2003,1,4
146,Kelham Vineyards,227,5/23/03,5,23,2003,2,5
147,Kelham Vineyards,249,6/24/03,6,24,2003,3,7
148,Kelham Vineyards,256,7/2/03,7,2,2003,4,8
149,Kelham Vineyards,271,7/18/03,7,18,2003,5,9
150,Kelham Vineyards,281,8/1/03,8,1,2003,6,10
151,Kelham Vineyards,290,8/22/03,8,22,2003,7,11
152,Kelham Vineyards,553,4/22/04,4,22,2004,1,3
153,Kelham Vineyards,702,4/22/04,4,22,2004,1,3
154,Kelham Vineyards,714,5/5/04,5,5,2004,2,4
155,Kelham Vineyards,725,5/21/04,5,21,2004,3,5
156,Kelham Vineyards,735,6/4/04,6,4,2004,4,6
157,Kelham Vineyards,744,6/18/04,6,18,2004,5,7
158,Kelham Vineyards,752,7/2/04,7,2,2004,6,8
159,Kelham Vineyards,762,7/15/04,7,15,2004,7,
160,Kelham Vineyards,772,7/29/04,7,29,2004,8,9
161,Kelham Vineyards,782,8/10/04,8,10,2004,9,10
162,Kelham Vineyards,791,9/6/04,9,6,2004,10,12
163,Kelham Vineyards,803,9/20/04,9,20,2004,11,12
164,Kunde,3,5/17/02,5,17,2002,1,5
165,Kunde,54,5/17/02,5,17,2002,1,5
166,Kunde,114,5/31/02,5,31,2002,2,
167,Kunde,125,6/12/02,6,12,2002,3,6
168,Kunde,97,6/24/02,6,24,2002,4,7
169,Kunde,110,7/9/02,7,9,2002,5,8
170,Kunde,143,7/22/02,7,22,2002,6,9
171,Kunde,150,8/5/02,8,5,2002,7,10
172,Kunde,161,8/20/02,8,20,2002,8,11
173,Kunde,184,9/16/02,9,16,2002,9,12
174,Kunde,197,3/28/03,3,28,2003,1,1
175,Kunde,213,5/7/03,5,7,2003,2,4
176,Kunde,221,5/16/03,5,16,2003,3,5
177,Kunde,245,6/20/03,6,20,2003,4,7
178,Kunde,251,6/30/03,6,30,2003,5,
179,Kunde,267,7/18/03,7,18,2003,6,9
180,Kunde,280,7/30/03,7,30,2003,7,
181,Kunde,289,8/20/03,8,20,2003,8,11
182,Kunde,306,9/19/03,9,19,2003,9,12
183,Kunde,690,3/19/04,3,19,2004,1,1
184,Lake Hennessey,59,3/26/02,3,26,2002,2,1
185,Lake Hennessey,34,4/19/02,4,19,2002,3,3
186,Lake Hennessey,43,5/3/02,5,3,2002,4,4
187,Lake Hennessey,38,5/23/02,5,23,2002,5,5
188,Lake Hennessey,120,6/7/02,6,7,2002,6,6
189,Lake Hennessey,132,6/18/02,6,18,2002,7,7
190,Lake Hennessey,105,7/2/02,7,2,2002,8,8
191,Lake Hennessey,141,7/17/02,7,17,2002,9,9
192,Lake Hennessey,172,7/29/02,7,29,2002,10,
193,Lake Hennessey,160,8/19/02,8,19,2002,11,11
194,Lake Hennessey,180,8/30/02,8,30,2002,12,11
195,Lake Hennessey,187,9/20/02,9,20,2002,13,12
196,Lake Hennessey,200,4/8/03,4,8,2003,1,2
197,Lake Hennessey,217,5/9/03,5,9,2003,2,4
198,Lake Hennessey,228,5/23/03,5,23,2003,3,5
199,Lake Hennessey,239,6/15/03,6,15,2003,4,6
200,Lake Hennessey,257,7/2/03,7,2,2003,5,8
201,Lake Hennessey,270,7/18/03,7,18,2003,6,9
202,Lake Hennessey,282,8/1/03,8,1,2003,7,10
