ID,SiteName,Conditionsid,date,month,day,year
1,Bouverie Preserve,40,4/1/02,4,1,2002
2,Bouverie Preserve,35,4/26/02,4,26,2002
4,Bouverie Preserve,4,5/10/02,5,10,2002
3,Bouverie Preserve,44,5/10/02,5,10,2002
5,Bouverie Preserve,115,5/31/02,5,31,2002
6,Bouverie Preserve,124,6/12/02,6,12,2002
7,Bouverie Preserve,96,6/24/02,6,24,2002
8,Bouverie Preserve,111,7/9/02,7,9,2002
9,Bouverie Preserve,144,7/22/02,7,22,2002
10,Bouverie Preserve,149,8/5/02,8,5,2002
11,Bouverie Preserve,162,8/20/02,8,20,2002
12,Bouverie Preserve,185,9/16/02,9,16,2002
13,Bouverie Preserve,198,3/28/03,3,28,2003
14,Bouverie Preserve,212,5/7/03,5,7,2003
15,Bouverie Preserve,222,5/16/03,5,16,2003
16,Bouverie Preserve,266,6/5/03,6,5,2003
17,Bouverie Preserve,244,6/20/03,6,20,2003
18,Bouverie Preserve,252,6/30/03,6,30,2003
19,Bouverie Preserve,268,7/18/03,7,18,2003
20,Bouverie Preserve,293,8/8/03,8,8,2003
21,Bouverie Preserve,288,8/20/03,8,20,2003
22,Bouverie Preserve,305,9/19/03,9,19,2003
23,Bouverie Preserve,691,3/19/04,3,19,2004
24,Bouverie Preserve,706,4/23/04,4,23,2004
25,Bouverie Preserve,557,4/23/04,4,23,2004
26,Bouverie Preserve,716,5/7/04,5,7,2004
27,Bouverie Preserve,721,5/12/04,5,12,2004
28,Bouverie Preserve,733,6/4/04,6,4,2004
29,Bouverie Preserve,743,6/17/04,6,17,2004
30,Bouverie Preserve,756,7/3/04,7,3,2004
31,Bouverie Preserve,766,7/16/04,7,16,2004
32,Bouverie Preserve,776,7/30/04,7,30,2004
33,Bouverie Preserve,785,8/13/04,8,13,2004
34,Bouverie Preserve,797,9/10/04,9,10,2004
35,Bouverie Preserve,805,9/29/04,9,29,2004
37,Chateau St. Jean /Watmaugh Rd.,7,3/25/02,3,25,2002
36,Chateau St. Jean /Watmaugh Rd.,22,3/25/02,3,25,2002
38,Chateau St. Jean /Watmaugh Rd.,19,4/12/02,4,12,2002
39,Chateau St. Jean /Watmaugh Rd.,8,4/22/02,4,22,2002
40,Chateau St. Jean /Watmaugh Rd.,26,5/13/02,5,13,2002
