collectionevent,Conditionsid,ampm,technique,color,HostPlant,Host.plant.nosp,Transect
2,10,,netting,,Lupinus bicolor,Lupinus bicolor,
3,10,,netting,,Lasthenia californica,Lasthenia californica,
4,10,,netting,,Patrolling,Patrolling,
5,10,,netting,,Amsinckis menzesii,Amsinckis menzesii,
6,20,,netting,,Ranunculus sp.,Ranunculus sp.,
7,20,,netting,,Arctostaphylos sp.,Arctostaphylos sp.,
8,25,,netting,,Ranunculus sp.,Ranunculus sp.,
9,28,,netting,,Ranunculus sp.,Ranunculus sp.,
10,31,,netting,,Phacelia nemoralis,Phacelia nemoralis,
11,31,,netting,,Nemophila heterophylla,Nemophila heterophylla,
12,31,,netting,,random,random,
13,39,,netting,,Ceanothus cuneatus,Ceanothus cuneatus,
14,39,,netting,,Ranunculus sp.,Ranunculus sp.,
15,45,,netting,,Ranunculus sp.,Ranunculus californicus,
16,45,,netting,,Patrolling,Patrolling,
17,45,,netting,,Amsinckis menzesii,Amsinckis menzesii,
18,52,,netting,,Ranunculus sp.,Ranunculus sp.,
19,52,,netting,,Cynoglossum grande,Cynoglossum grande,
20,52,,netting,,on ground,on ground,
21,52,,netting,,Nemophila heterophylla,Nemophila heterophylla,
22,52,,netting,,Ranunculus sp.,Ranunculus sp.,
23,52,,netting,,Pedicularis densiflora,Pedicularis densiflora,
24,52,,netting,,Lupinus bicolor,Lupinus bicolor,
25,52,,netting,,Nemophila menziesii,Nemophila menziesii,
26,52,,netting,,Plagiobothyrs sp.,Plagiobothyrs sp.,
27,52,,netting,,Nemophila heterophylla,Nemophila heterophylla,
28,55,,netting,,Vicia sativa,Vicia sativa,
29,55,,netting,,Nemophila heterophylla,Nemophila heterophylla,
30,55,,netting,,Oxalis pes-caprae,Oxalis pes-caprae,
31,55,,netting,,on ground,on ground,
32,55,,netting,,Dichelostemma capitatum,Dichelostemma capitatum,
33,55,,netting,,Lathyrus vestitus,Lathyrus vestitus,
34,55,,netting,,Ranunculus sp.,Ranunculus sp.,
35,63,,netting,,Lupinus nanus,Lupinus nanus,
36,63,,netting,,random,random,
37,63,,netting,,Vicia sativa,Vicia sativa,
38,63,,netting,,Mimulus guttatus,Mimulus guttatus,
39,69,,netting,,Vicia sativa,Vicia sativa,
40,69,,netting,,Lathyrus vestitus,Lathyrus sp.,
41,69,,netting,,Geranium dissectum,Geranium dissectum,
42,69,,netting,,Euphorbia oblongata,Euphorbia oblongata,
43,70,,netting,,Vicia sativa,Vicia sativa,
44,70,,netting,,Phacelia nemoralis,Phacelia nemoralis,
45,70,,netting,,Toxicodendron diversilobum,Toxicodendron diversilobum,
46,70,,netting,,random,random,
47,70,,netting,,Mimulus aurantiacus,Mimulus aurantiacus,
48,71,,netting,,Vicia sativa,Vicia sativa,
49,72,,netting,,Scandix pecten-veneris,Scandix pecten-veneris,
50,72,,netting,,Ranunculus sp.,Ranunculus sp.,
51,72,,netting,,Vicia sativa,Vicia sativa,
52,67,,netting,,Toxicodendron diversilobum,Toxicodendron diversilobum,
53,73,,netting,,Trifolium wildenovii,Trifolium wildenovii,
54,73,,netting,,Lupinus nanus,Lupinus nanus,
55,73,,netting,,random,random,
56,73,,netting,,Nemophila menziesii,Nemophila menziesii,
57,73,,netting,,Nemophila heterophylla,Nemophila heterophylla,
58,73,,netting,,Plagiobothyrs sp.,Plagiobothyrs sp.,
59,73,,netting,,Vicia sativa,Vicia sativa,
60,73,,netting,,Ranunculus sp.,Ranunculus sp.,
61,74,,netting,,Vicia sativa,Vicia sativa,
62,74,,netting,,Ranunculus sp.,Ranunculus californicus,
63,74,,netting,,Phacelia nemoralis,Phacelia nemoralis,
64,75,,netting,,Vicia sativa,Vicia sativa,
65,75,,netting,,Ranunculus sp.,Ranunculus sp.,
66,64,,netting,,Limnanthes douglasii,Limnanthes douglasii,
67,64,,netting,,random,random,
68,64,,netting,,Ranunculus sp.,Ranunculus californicus,
69,64,,netting,,Nemophila menziesii,Nemophila menziesii,
70,65,,netting,,Toxicodendron diversilobum,Toxicodendron diversilobum,
71,65,,netting,,Scandix pecten-veneris,Scandix pecten-veneris,
72,65,,netting,,Ranunculus sp.,Ranunculus sp.,
73,65,,netting,,Vicia sativa,Vicia sativa,
74,66,,netting,,Ranunculus sp.,Ranunculus sp.,
75,66,,netting,,Patrolling,Patrolling,
76,52,,netting,,Lathyrus vestitus,Lathyrus sp.,
77,52,,netting,,Vicia sativa,Vicia sativa,
78,67,,netting,,Ranunculus sp.,Ranunculus sp.,
79,67,,netting,,Vicia sativa,Vicia sativa,
80,67,,netting,,Nemophila heterophylla,Nemophila heterophylla,
81,67,,netting,,Hypochaeris glabra,Hypochaeris glabra,
82,68,,netting,,Limnanthes douglasii,Limnanthes douglasii,
83,64,,netting,,Vicia sativa,Vicia sativa,
84,64,,netting,,Phacelia nemoralis,Phacelia nemoralis,
85,64,,netting,,Sanicula bipinnatifida,Sanicula bipinnatifida,
86,64,,netting,,random,random,
87,76,,netting,,Trifolium hirtum,Trifolium hirtum,
88,76,,netting,,Euphorbia oblongata,Euphorbia oblongata,
89,76,,netting,,Asteraceae,Asteraceae,
90,76,,netting,,Ranunculus sp.,Ranunculus sp.,
91,76,,netting,,Vicia sativa,Vicia sativa,
92,77,,netting,,Vicia sativa,Vicia sativa,
93,78,,netting,,Lathyrus vestitus,Lathyrus sp.,
94,78,,netting,,Trifolium wildenovii,Trifolium wildenovii,
95,78,,netting,,Ranunculus sp.,Ranunculus californicus,
96,78,,netting,,Vicia sativa,Vicia sativa,
97,78,,netting,,Patrolling,Patrolling,
98,78,,netting,,Dichelostemma capitatum,Dichelostemma capitatum,
99,79,,netting,,Phacelia nemoralis,Phacelia nemoralis,
100,79,,netting,,Pectis papposa,Pectis papposa,
101,79,,netting,,Vicia sativa,Vicia sativa,
102,79,,netting,,Clarkia purpurea,Clarkia purpurea,
103,79,,netting,,Scrophularia californica,Scrophularia californica,
104,35,,netting,,Ranunculus sp.,Ranunculus californicus,
105,35,,netting,,Trifolium wildenovii,Trifolium wildenovii,
106,35,,netting,,Limnanthes douglasii,Limnanthes douglasii,
107,35,,netting,,Dichelostemma capitatum,Dichelostemma capitatum,
108,35,,netting,,Eschscholzia californica,Eschscholzia californica,
109,35,,netting,,Vicia sativa,Vicia sativa,
110,80,,netting,,Nemophila heterophylla,Nemophila heterophylla,
111,80,,netting,,Collinsia heterophylla,Collinsia heterophylla,
112,80,,netting,,Cirsium sp.,Cirsium sp.,
113,80,,netting,,Nemophila menziesii,Nemophila menziesii,
114,80,,netting,,Geranium molle,Geranium molle,
115,80,,netting,,Vicia sativa,Vicia sativa,
116,80,,netting,,Patrolling,Patrolling,
117,80,,netting,,Ranunculus sp.,Ranunculus sp.,
118,81,,netting,,Delphinium sp.,Delphinium sp.,
119,81,,netting,,Ipomea sp.,Ipomea sp.,
120,81,,netting,,Hypochaeris glabra,Hypochaeris glabra,
121,81,,netting,,Vicia sp.,Vicia sp.,
122,81,,netting,,Ranunculus sp.,Ranunculus sp.,
123,81,,netting,,Patrolling,Patrolling,
124,81,,netting,,Sanicula bipinnatifida,Sanicula bipinnatifida,
125,94,,netting,,Patrolling,Patrolling,
126,94,,netting,,Trifolium wildenovii,Trifolium wildenovii,
128,94,,netting,,Phacelia nemoralis,Phacelia nemoralis,
129,82,,netting,,random,random,
130,83,,netting,,Mimulus aurantiacus,Mimulus aurantiacus,
131,83,,netting,,Tropidocarpum gracile,Tropidocarpum gracile,
132,84,,netting,,Malvaceae,Malvaceae,
133,84,,netting,,Clarkia amoena,Clarkia amoena,
134,84,,netting,,Dichelostemma capitatum,Dichelostemma capitatum,
135,84,,netting,,Collinsia heterophylla,Collinsia heterophylla,
136,84,,netting,,Hypochaeris radicata,Hypochaeris radicata,
137,130,,netting,,Patrolling,Patrolling,
138,84,,netting,,Rosa gymnocarpa,Rosa gymnocarpa,
139,84,,netting,,Cirsium vulgare,Cirsium vulgare,
140,84,,netting,,Asteraceae,Asteraceae,
141,84,,netting,,Trifolium hirtum,Trifolium hirtum,
142,85,,netting,,random,random,
143,86,,netting,,Tropidocarpum gracile,Tropidocarpum gracile,
144,86,,netting,,Clarkia unguiculata,Clarkia unguiculata,
145,71,,netting,,Rubus discolor,Rubus discolor,
146,88,,netting,,Asteraceae,Asteraceae,
147,88,,netting,,Aesculus californica,Aesculus californica,
148,88,,netting,,Calochortus luteus,Calochortus luteus,
149,88,,netting,,Hypochaeris sp.,Hypochaeris sp.,
150,88,,netting,,Lonicera hispidula,Lonicera hispidula,
151,89,,netting,,Rubus discolor,Rubus discolor,
152,89,,netting,,Clarkia amoena,Clarkia amoena,
153,35,,netting,,Eschscholzia californica,Eschscholzia californica,
154,88,,netting,,Centaurea solstitialis,Centaurea solstitialis,
155,91,,netting,,Cirsium vulgare,Cirsium vulgare,
156,91,,netting,,Clarkia amoena,Clarkia amoena,
157,91,,netting,,Hypochaeris sp.,Hypochaeris sp.,
158,80,,netting,,Heteromeles arbutifolia,Heteromeles arbutifolia,
159,92,,netting,,Tropidocarpum gracile,Tropidocarpum gracile,
160,92,,netting,,Patrolling,Patrolling,
161,92,,netting,,Eriognum,Eriognum,
162,92,,netting,,Heteromeles arbutifolia,Heteromeles arbutifolia,
163,92,,netting,,Centaurea solstitialis,Centaurea solstitialis,
