SiteName,ddate,event,comboevent,eventmonth,Year,Month,stevent
Chateau St. Jean /Watmaugh Rd.,3/25/02,1,1,1,2002,3,na
Goode,3/26/02,1,1,1,2002,3,na
Lake Hennessey,3/26/02,1,1,1,2002,3,na
Saintsbury,3/26/02,1,1,1,2002,3,na
Veterans' Home,3/26/02,1,1,1,2002,3,na
Rector Resevoir,3/28/02,1,1,1,2002,3,na
Bouverie Preserve,4/1/02,1,1,1,2002,4,na
Chateau St. Jean /Watmaugh Rd.,4/12/02,2,1,1,2002,4,na
Goode,4/12/02,2,1,1,2002,4,na
Hudson,4/12/02,1,1,1,2002,4,na
Saintsbury,4/12/02,2,1,1,2002,4,na
Hudson,3/18/03,1,1,1,2003,3,1
Saintsbury,3/18/03,1,1,1,2003,3,1
Chateau St. Jean /Watmaugh Rd.,3/21/03,1,1,1,2003,3,1
Bouverie Preserve,3/28/03,1,1,1,2003,3,1
Goode,3/28/03,1,1,1,2003,3,1
Kunde,3/28/03,1,1,1,2003,3,1
Lake Hennessey,4/8/03,1,1,2,2003,4,1
Quintessa,4/8/03,1,1,2,2003,4,1
Rector Resevoir,4/11/03,na,na,2,2003,4,na
Veterans' Home,4/11/03,1,1,2,2003,4,1
Bouverie Preserve,3/19/04,1,1,7,2004,3,
Bouverie Preserve,4/23/04,2,1,2,2004,4,
Bouverie Preserve,5/12/04,3,2,3,2004,5,
Bouverie Preserve,6/4/04,4,2,4,2004,6,
Bouverie Preserve,6/17/04,5,3,4,2004,6,
Bouverie Preserve,7/16/04,6,3,5,2004,7,
Bouverie Preserve,7/30/04,7,4,5,2004,7,
Bouverie Preserve,8/13/04,8,4,6,2004,8,
Bouverie Preserve,9/29/04,9,5,7,2004,9,
Hudson,4/18/02,2,1,1,2002,4,na
Saintsbury,4/18/02,3,2,1,2002,4,na
Lake Hennessey,4/19/02,2,1,1,2002,4,na
Quintessa,4/19/02,4,2,1,2002,4,na
Rector Resevoir,4/19/02,2,1,1,2002,4,na
Veterans' Home,4/19/02,2,1,1,2002,4,na
Chateau St. Jean /Watmaugh Rd.,4/22/02,3,2,1,2002,4,na
Goode,4/22/02,3,2,1,2002,4,na
Bouverie Preserve,4/26/02,2,1,1,2002,4,na
Hudson,5/2/02,3,2,2,2002,5,1
Saintsbury,5/2/02,4,2,2,2002,5,1
Wappo Hill,4/11/03,1,1,2,2003,4,1
Chateau St. Jean /Watmaugh Rd.,4/19/03,2,1,2,2003,4,2
Hudson,4/19/03,2,1,2,2003,4,2
Saintsbury,4/19/03,2,1,2,2003,4,2
Bouverie Preserve,5/7/03,2,1,3,2003,5,2
Goode,5/7/03,2,1,3,2003,5,2
Kunde,5/7/03,2,1,3,2003,5,2
Kelham Vineyards,5/9/03,2,1,3,2003,5,2
Lake Hennessey,5/9/03,2,1,3,2003,5,2
Quintessa,5/9/03,2,1,3,2003,5,2
