barcode,collectionevent,Number,SpeciesID,Type,Det,Year,GenusID,DateEntered,StorageLocation,DateModified
20010001,130,1,6086,,R.W. Brooks,2001,24,,,
20010002,130,1,6086,,R.W. Brooks,2001,24,,,
20010003,133,1,6086,,R.W. Brooks,2001,24,,,
20010004,136,1,6086,,R.W. Brooks,2001,24,,,
20010005,136,1,6086,,R.W. Brooks,2001,24,,,
20010006,136,1,6086,,R.W. Brooks,2001,24,,,
20010007,136,1,6086,,R.W. Brooks,2001,24,,,
20010008,136,1,6086,,R.W. Brooks,2001,24,,,
20010009,136,1,6086,,R.W. Brooks,2001,24,,,
20010010,136,1,6086,,R.W. Brooks,2001,24,,,
20010011,136,1,6086,,R.W. Brooks,2001,24,,,
20010012,137,1,6086,,R.W. Brooks,2001,24,,,
20010013,138,1,6086,,R.W. Brooks,2001,24,,,
20010014,138,1,6086,,R.W. Brooks,2001,24,,,
20010015,140,1,6086,,R.W. Brooks,2001,24,,,
20010016,140,1,6086,,R.W. Brooks,2001,24,,,
20010017,140,1,6086,,R.W. Brooks,2001,24,,,
20010018,140,1,6086,,R.W. Brooks,2001,24,,,
20010019,140,1,6086,,R.W. Brooks,2001,24,,,
20010020,150,1,6086,,R.W. Brooks,2001,24,,,
20010021,167,1,6086,,R.W. Brooks,2001,24,,,
20010022,150,1,6086,,R.W. Brooks,2001,24,,,
20010023,151,1,6086,,R.W. Brooks,2001,24,,,
20010024,151,1,6086,,R.W. Brooks,2001,24,,,
20010025,139,1,6086,,R.W. Brooks,2001,24,,,
20010026,139,1,6086,,R.W. Brooks,2001,24,,,
20010027,139,1,6086,,R.W. Brooks,2001,24,,,
20010028,139,1,6086,,R.W. Brooks,2001,24,,,
20010029,157,1,6086,,R.W. Brooks,2001,24,,,
20010030,152,1,6086,,R.W. Brooks,2001,24,,,
20010031,158,1,6086,,R.W. Brooks,2001,24,,,
20010032,159,1,6086,,R.W. Brooks,2001,24,,,
20010033,154,1,6086,,R.W. Brooks,2001,24,,,
20010034,138,1,6086,,R.W. Brooks,2001,24,,,
20010035,138,1,6086,,R.W. Brooks,2001,24,,,
20010036,140,1,6086,,R.W. Brooks,2001,24,,,
20010037,166,1,6086,Female,R.W. Brooks,2003,24,,,
20010038,58,1,6086,Female,R.W. Brooks,2003,24,,,
20010039,69,1,6086,,R.W. Brooks,2001,24,,,
20010040,97,1,6086,,R.W. Brooks,2001,24,,,
20010041,159,1,6086,,R.W. Brooks,2001,24,,,
20010042,139,1,6086,,R.W. Brooks,2001,24,,,
20010043,167,1,6086,,R.W. Brooks,2001,24,,,
20010044,43,1,6086,,R.W. Brooks,2001,24,,,
20010045,97,1,6086,,R.W. Brooks,2001,24,,,
20010046,58,1,6086,Male,R.W. Brooks,2003,24,,,
20010047,133,1,6101,,R.W. Brooks,2001,24,,,
20010048,133,1,6101,,R.W. Brooks,2001,24,,,
20010049,130,1,6101,,R.W. Brooks,2003,24,,,
20010050,163,1,6101,,R.W. Brooks,2003,24,,,
20010051,172,1,6101,,R.W. Brooks,2001,24,,,
20010052,159,1,6101,,R.W. Brooks,2003,24,,,
20010053,143,1,6092,,R.W. Brooks,2003,24,,,
20010054,143,1,6092,,R.W. Brooks,2003,24,,,
20010055,143,1,6092,,R.W. Brooks,2003,24,,,
20010056,101,1,7106,,R.W. Brooks,2001,49,,,
20010057,127,1,7106,,R.W. Brooks,2001,49,,,
20010058,96,1,7094,,R.W. Brooks,2001,49,,,
20010059,111,1,7094,,R.W. Brooks,2001,49,,,
20010060,121,1,7094,Female,R. W. Brooks,2001,49,,,19-Aug-06
20010061,127,1,7094,Male,R. W. Brooks,2001,49,,,21-Aug-06
20010062,64,1,7094,Male,R. W. Brooks,2001,49,,,21-Aug-06
20010063,43,1,7094,Male,R. W. Brooks,2001,49,,,21-Aug-06
20010064,162,1,5730,,R.W. Brooks,2001,12,,,
20010065,63,1,5730,,R.W. Brooks,2001,12,,,
20010066,44,1,5730,,R.W. Brooks,2001,12,,,
20010067,73,1,9834,,R.W. Brooks,2001,42,,,
20010068,79,1,9834,,R.W. Brooks,2001,42,,,
20010069,83,1,9834,,R.W. Brooks,2001,42,,,
20010070,86,1,9834,,R.W. Brooks,2001,42,,,
20010071,91,1,9834,,R.W. Brooks,2001,42,,,
20010072,91,1,9834,,R.W. Brooks,2001,42,,,
20010073,96,1,9834,,R.W. Brooks,2001,42,,,
20010074,96,1,9834,,R.W. Brooks,2001,42,,,
20010075,36,1,9834,,R.W. Brooks,2001,42,,,
20010076,58,1,9834,,R.W. Brooks,2001,42,,,
20010077,51,1,9834,,R.W. Brooks,2001,42,,,
20010078,51,1,9834,,R.W. Brooks,2001,42,,,
20010079,101,1,9834,,R.W. Brooks,2001,42,,,
20010080,115,1,9834,,R.W. Brooks,2001,42,,,
20010081,115,1,9834,,R.W. Brooks,2001,42,,,
20010082,61,1,9834,,R.W. Brooks,2001,42,,,
20010083,75,1,9834,,R.W. Brooks,2001,42,,,
20010084,75,1,9834,,R.W. Brooks,2001,42,,,
20010085,96,1,9834,,R.W. Brooks,2001,42,,,
20010086,39,1,9834,,R.W. Brooks,2001,42,,,
20010087,48,1,9834,,R.W. Brooks,2001,42,,,
20010088,51,1,9834,,R.W. Brooks,2001,42,,,
20010089,51,1,9834,,R.W. Brooks,2001,42,,,
20010090,51,1,9834,,R.W. Brooks,2001,42,,,
20010091,51,1,9834,,R.W. Brooks,2001,42,,,
20010092,51,1,9834,,R.W. Brooks,2001,42,,,
20010093,51,1,9834,,R.W. Brooks,2001,42,,,
20010094,51,1,9834,,R.W. Brooks,2001,42,,,
20010095,52,1,9834,,R.W. Brooks,2001,42,,,
20010096,67,1,9834,,R.W. Brooks,2001,42,,,
20010097,91,1,9834,,R.W. Brooks,2001,42,,,
20010098,121,1,9847,,R.W. Brooks,2001,42,,,
20010099,120,1,5311,,R.W. Brooks,2001,5,,,
20010100,78,1,5311,,R.W. Brooks,2001,5,,,
20010101,78,1,5311,,R.W. Brooks,2001,5,,,
20010102,50,1,5311,,R.W. Brooks,2001,5,,,
20010103,50,1,5311,,R.W. Brooks,2001,5,,,
